Entity,Code,Year,Emissions,YoY_Pct_Change
International transport,,1751,0.0,0.0
International transport,,1752,0.0,0.0
International transport,,1753,0.0,0.0
International transport,,1754,0.0,0.0
International transport,,1755,0.0,0.0
International transport,,1756,0.0,0.0
International transport,,1757,0.0,0.0
International transport,,1758,0.0,0.0
International transport,,1759,0.0,0.0
International transport,,1760,0.0,0.0
International transport,,1761,0.0,0.0
International transport,,1762,0.0,0.0
International transport,,1763,0.0,0.0
International transport,,1764,0.0,0.0
International transport,,1765,0.0,0.0
International transport,,1766,0.0,0.0
International transport,,1767,0.0,0.0
International transport,,1768,0.0,0.0
International transport,,1769,0.0,0.0
International transport,,1770,0.0,0.0
International transport,,1771,0.0,0.0
International transport,,1772,0.0,0.0
International transport,,1773,0.0,0.0
International transport,,1774,0.0,0.0
International transport,,1775,0.0,0.0
International transport,,1776,0.0,0.0
International transport,,1777,0.0,0.0
International transport,,1778,0.0,0.0
International transport,,1779,0.0,0.0
International transport,,1780,0.0,0.0
International transport,,1781,0.0,0.0
International transport,,1782,0.0,0.0
International transport,,1783,0.0,0.0
International transport,,1784,0.0,0.0
International transport,,1785,0.0,0.0
International transport,,1786,0.0,0.0
International transport,,1787,0.0,0.0
International transport,,1788,0.0,0.0
International transport,,1789,0.0,0.0
International transport,,1790,0.0,0.0
International transport,,1791,0.0,0.0
International transport,,1792,0.0,0.0
International transport,,1793,0.0,0.0
International transport,,1794,0.0,0.0
International transport,,1795,0.0,0.0
International transport,,1796,0.0,0.0
International transport,,1797,0.0,0.0
International transport,,1798,0.0,0.0
International transport,,1799,0.0,0.0
International transport,,1800,0.0,0.0
International transport,,1801,0.0,0.0
International transport,,1802,0.0,0.0
International transport,,1803,0.0,0.0
International transport,,1804,0.0,0.0
International transport,,1805,0.0,0.0
International transport,,1806,0.0,0.0
International transport,,1807,0.0,0.0
International transport,,1808,0.0,0.0
International transport,,1809,0.0,0.0
International transport,,1810,0.0,0.0
International transport,,1811,0.0,0.0
International transport,,1812,0.0,0.0
International transport,,1813,0.0,0.0
International transport,,1814,0.0,0.0
International transport,,1815,0.0,0.0
International transport,,1816,0.0,0.0
International transport,,1817,0.0,0.0
International transport,,1818,0.0,0.0
International transport,,1819,0.0,0.0
International transport,,1820,0.0,0.0
International transport,,1821,0.0,0.0
International transport,,1822,0.0,0.0
International transport,,1823,0.0,0.0
International transport,,1824,0.0,0.0
International transport,,1825,0.0,0.0
International transport,,1826,0.0,0.0
